0.100000,4.58851
0.111111,4.01432
0.122222,3.72322
0.133333,3.98233
0.144444,4.23663
0.155556,4.11074
0.166667,4.22998
0.177778,4.39590
0.188889,4.68883
0.200000,4.96071
0.211111,5.70251
0.222222,5.55356
0.233333,5.57752
0.244444,5.24323
0.255556,5.27166
0.266667,5.52826
0.277778,5.89183
0.288889,5.47110
0.300000,5.19994
0.311111,5.40810
0.322222,5.43858
0.333333,5.99799
0.344444,5.64531
0.355556,5.45171
0.366667,5.34461
0.377778,5.44944
0.388889,5.97277
0.400000,6.12255
0.411111,6.00885
0.422222,5.35307
0.433333,5.54520
0.444444,5.79304
0.455556,5.76228
0.466667,5.69352
0.477778,5.81860
0.488889,5.39337
